bloc	type	nom	url	pays	canal_contact	contact	signal	date_signal	pertinence	preuve	motif	_source	_ligne
	expert-comptable	EXCO FIDUCIAIRE DU SUD OUEST (EXCO FSO)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	1
	expert-comptable	ASSOCIATION DE GESTION ET DE COMPTABILITE GASCOGNE OCCITANE (AGC GO)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	2
	expert-comptable	BGH EXPERTS & CONSEILS (BGH AUDIT)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	3
	expert-comptable	AXYLIS SUD OUEST			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	4
	expert-comptable	FLORENT BERNIER			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	5
	expert-comptable	FORVIS MAZARS			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	6
	expert-comptable	DAMIOT MARTINEZ EXPERTISE COMPTABLE			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	7
	expert-comptable	SYGNATURES			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	8
	expert-comptable	ASS NAT GESTION AGREEE PROFESSIONS SANTE (ANGAK)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	9
	expert-comptable	BFP EXPERTISE CONSEIL (BFP)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	10
	expert-comptable	IN EXTENSO MIDI-PYRENEES			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	11
	expert-comptable	VINCENT JACQUIN			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	12
	expert-comptable	THIERRY FONTANA ET ASSOCIES SOCIETE D'EXPERTISE COMPTABLE			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	13
	expert-comptable	ARNAUD BOSCARY			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	14
	expert-comptable	CABINET SONINO ET ASSOCIES			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	15
	expert-comptable	ASSOCIATION DE GESTION ET DE COMPTABILITE CŒUR D'OCCITANIE (AGC CŒUR D'OCCITANIE)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	16
	expert-comptable	C2G GILLES GASTOU (C2G)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	17
	expert-comptable	MARTIGNOLE HUZE ASSOCIES TARN (MARTIGNOLE HUZE ASSOCIES)			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	18
	expert-comptable	SARL MOREREAU REGIS			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	19
	expert-comptable	BENJAMIN VIGOUROUX			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	20
	expert-comptable	B.J.L CONSULTANTS EXPERTISE COMPTABLE ET COMMISSARIAT AUX COMPTES			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	21
	expert-comptable	CF EXPERTS			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	22
	expert-comptable	SYLVIE MARTY			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	23
	expert-comptable	NAKA CONSEIL			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	24
	expert-comptable	BERNARD BIROT			a_contacter		automatisation facturation/admin	2026-06-29	0		champ obligatoire vide: url	prospects.csv	25
